project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::J376,operational,2016-12-15,day,,,Berkeley,high
P::B::J377,withdrawn,2015-02-02,day,,2020-12-31,Berkeley,high
P::B::J378,withdrawn,2016-01-12,day,,2020-12-31,Berkeley,high
P::B::J379,withdrawn,2014-10-22,day,,2020-12-31,Berkeley,high
P::B::J380,withdrawn,2014-10-22,day,,2020-12-31,Berkeley,high
P::B::J381,withdrawn,2014-09-30,day,,2020-12-31,Berkeley,high
P::B::J382,operational,2020-05-01,day,,,Berkeley,high
P::B::J383,withdrawn,2016-03-18,day,,2020-12-31,Berkeley,high
P::B::J384,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J385,operational,2016-10-01,day,,,Berkeley,high
P::B::J386,withdrawn,2015-06-16,day,,2020-12-31,Berkeley,high
P::B::J387,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J388,withdrawn,2016-09-15,day,,2020-12-31,Berkeley,high
P::B::J389,withdrawn,2015-06-17,day,,2020-12-31,Berkeley,high
P::B::J390,operational,2017-11-15,day,,,Berkeley,high
P::B::J391,withdrawn,2020-01-23,day,,2020-12-31,Berkeley,high
P::B::J392,operational,2015-09-01,day,,,Berkeley,high
P::B::J393,withdrawn,2014-12-11,day,,2020-12-31,Berkeley,high
P::B::J394,withdrawn,2016-11-21,day,,2020-12-31,Berkeley,high
P::B::J395,operational,2015-09-01,day,,,Berkeley,high
P::B::J396,operational,2019-09-30,day,,,Berkeley,high
P::B::J397,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J398,withdrawn,2014-12-19,day,,2020-12-31,Berkeley,high
P::B::J399,operational,2018-02-01,day,,,Berkeley,high
P::B::J400,operational,2017-06-01,day,,,Berkeley,high
P::B::J401,operational,2016-01-15,day,,,Berkeley,high
P::B::J402,withdrawn,2016-06-15,day,,2020-12-31,Berkeley,high
P::B::J403,withdrawn,2016-09-14,day,,2020-12-31,Berkeley,high
P::B::J404,withdrawn,2016-03-18,day,,2020-12-31,Berkeley,high
P::B::J405,operational,2017-12-31,day,,,Berkeley,high
P::B::J406,operational,2018-01-01,day,,,Berkeley,high
