trial,pr_auc,use_l2,l1_ratio,C,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,n_features,goal
10,0.0469347254626125,False,0.10539746466023547,0.03455183023853756,1666.0,0.04141656662665066,0.5534425961721706,0.08348911172599738,0.19645586272865084,0.3253199371784641,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.03592814371257485,0.08695652173913043,0.867482426451445,0.06979824740167108,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.19716731200326065,1.1332355452277163,0.04141656662665066,ok,logistic_hpo_trial_10,val,85,below_strong
11,0.047534952794753754,False,0.12568015034453706,0.03182908215905922,1666.0,0.04141656662665066,0.5566732914068951,0.08246226120494038,0.19533065412079084,0.3233637073000599,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.21744446708783371,1.1477279906675328,0.04141656662665066,ok,logistic_hpo_trial_11,val,85,below_strong
12,0.04711207031998861,False,0.10523697586301967,0.032858704162298684,1666.0,0.04141656662665066,0.5546132694454275,0.08306611272982958,0.19588509229805295,0.3244558898808852,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.19716731200326065,1.137517523957986,0.04141656662665066,ok,logistic_hpo_trial_12,val,85,below_strong
13,0.047578356182290955,False,0.10757343895631807,0.02521982187045825,1666.0,0.04141656662665066,0.5583612389171726,0.08031773163301681,0.19152518578093133,0.31845290295486817,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.05688622754491018,0.2753623188405797,1.3735138418814545,0.22763399225596087,1.1487759623144456,0.04141656662665066,ok,logistic_hpo_trial_13,val,85,below_strong
14,0.04141656662665066,False,0.29536290272750476,0.0017309673097651974,1666.0,0.04141656662665066,0.5,0.04645403704854983,0.08217543679858935,0.21305221812008204,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.043203586712859184,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.23170980232321173,1.0,0.04141656662665066,ok,logistic_hpo_trial_14,val,85,below_strong
15,0.043939034144931846,False,0.2439589917339559,0.012281966802746876,1666.0,0.04141656662665066,0.4966331799660595,0.06395479144219374,0.15208031956741816,0.2753166835214089,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.07631954350927246,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.15783574485428978,0.038922155688622756,0.18840579710144928,0.9397726286557321,0.1955369879763603,1.060904795441398,0.04141656662665066,ok,logistic_hpo_trial_15,val,85,below_strong
16,0.0500382261862633,False,0.5663432490978868,0.07228316158509024,1666.0,0.04141656662665066,0.5677810750229143,0.0797327095695379,0.18881026520240404,0.3157570492424147,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.16150397391481558,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.16150397391481558,1.2081693453089082,0.04141656662665066,ok,logistic_hpo_trial_16,val,85,below_strong
17,0.0501622984597832,False,0.6399413885526957,0.08768414870154671,1666.0,0.04141656662665066,0.5670187761473051,0.08324811749289866,0.1960353478449184,0.32437560644607,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.08383233532934131,0.2028985507246377,2.024125661720038,0.14621968616262482,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.16150397391481558,1.2111650613623017,0.04141656662665066,ok,logistic_hpo_trial_17,val,85,below_strong
18,0.03585746206943549,False,0.632995280053384,9.187779196238209,1666.0,0.04141656662665066,0.45791021208243715,0.06199195434773855,0.10379065278161882,0.2532078672083649,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.03464438557163236,0.02694610778443114,0.13043478260869565,0.6506118198385837,0.11616058691664968,0.8657758232997034,0.04141656662665066,ok,logistic_hpo_trial_18,val,85,below_strong
19,0.049189704806906306,False,0.568043995472729,0.09842226180362632,1666.0,0.04141656662665066,0.559613587069959,0.08574014167134594,0.1993907923836984,0.3295364150826921,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.16150397391481558,1.1876818580913902,0.04141656662665066,ok,logistic_hpo_trial_19,val,85,below_strong
20,0.0421147492240666,False,0.619314412428021,0.004403163085595034,1666.0,0.04141656662665066,0.5035483197662284,0.046458886909600546,0.08201339934197882,0.21304115373654975,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.04075810067250866,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.06480538006928876,0.008982035928143712,0.043478260869565216,0.21687060661286126,0.06480538006928876,1.016857568221666,0.04141656662665066,ok,logistic_hpo_trial_20,val,85,below_strong
21,0.04877841314154192,False,0.5473768542497673,0.09934048872437072,1666.0,0.04141656662665066,0.557290390496674,0.08601404355505576,0.19956307140481813,0.3300245576433875,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.1818830242510699,1.1777512506349108,0.04141656662665066,ok,logistic_hpo_trial_21,val,85,below_strong
22,0.04823062148389095,False,0.5122285784183799,0.10167866530555378,1666.0,0.04141656662665066,0.553841895583204,0.08580846520339537,0.19819848187334924,0.32902134853106746,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.1818830242510699,1.1645248607559757,0.04141656662665066,ok,logistic_hpo_trial_22,val,85,below_strong
23,0.04908721277518299,False,0.7089497331422809,0.07367643894497776,1666.0,0.04141656662665066,0.5587786883014347,0.08036181219247529,0.1915736970836122,0.31852968461389397,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03515386183003872,0.0718562874251497,0.17391304347826086,1.73496485290289,0.11565111065824332,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.1919706541675158,1.1852071954123895,0.04141656662665066,ok,logistic_hpo_trial_23,val,85,below_strong
24,0.04721078753367186,False,0.9575721508562054,0.2743117149877296,1666.0,0.04141656662665066,0.5379515940213988,0.08629201285666463,0.19035152981038392,0.32535742222518965,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.041916167664670656,0.2028985507246377,1.012062830860019,0.15640921133075197,1.1399010439289468,0.04141656662665066,ok,logistic_hpo_trial_24,val,85,below_strong
