trial,pr_auc,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,n_features,goal
103,0.08372663047823083,5,0.1562026537160256,1.5051781145921965,2.5212930628445953,4.102123903049271,193,12,1666.0,0.04141656662665066,0.6894630330420263,0.044318487425027066,0.05650749527218652,0.18829522810289012,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.1074994905237416,0.11976047904191617,0.2898550724637681,2.891608088171483,0.23486855512533117,0.09281437125748503,0.4492753623188406,2.2409962683328994,0.42327287548400244,2.0215734257497475,0.04141656662665066,ok,catboost_hpo_trial_103,val,104,[],64,below_strong
104,0.08249230570959772,5,0.10025730074840176,1.0721157334730624,2.9877494169143035,4.120716654673109,224,17,1666.0,0.04141656662665066,0.6644523699327544,0.042167940452741734,0.05010879246353536,0.18537062529732592,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.07845934379457917,0.10179640718562874,0.2463768115942029,2.457866874945761,0.18229060525779497,0.08383233532934131,0.4057971014492754,2.024125661720038,0.32331363358467496,1.9917707436549248,0.04141656662665066,ok,catboost_hpo_trial_104,val,97,[],64,below_strong
105,0.1047968657291487,5,0.1227802848623776,1.1978002769160185,2.7463631418752144,3.6331046023825007,200,26,1666.0,0.04141656662665066,0.7378871616164365,0.0436560133998585,0.06964088714134214,0.1952588434681349,0.13095238095238096,0.15942028985507245,3.161835748792271,0.13603016099449766,0.1377245508982036,0.3333333333333333,3.325349301397206,0.29498675361728144,0.11077844311377245,0.5362318840579711,2.6747374815586222,0.4839005502343591,2.530312729054518,0.04141656662665066,ok,catboost_hpo_trial_105,val,61,[],64,below_strong
106,0.10339166641133413,5,0.14655016070412616,1.2867010236717233,2.750392110868836,3.5742227339314283,209,27,1666.0,0.04141656662665066,0.7171508172025447,0.04279825233300965,0.05455415507232241,0.18369466325415348,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.06572243733442022,0.1317365269461078,0.3188405797101449,3.180768896988632,0.2469940900754025,0.11976047904191617,0.5797101449275363,2.891608088171483,0.514978601997147,2.4963842933519227,0.04141656662665066,ok,catboost_hpo_trial_106,val,69,[],64,below_strong
107,0.08597992524396003,5,0.1458931282587415,1.2335581797340636,2.7976922073171897,3.611196002258251,201,30,1666.0,0.04141656662665066,0.7265252783752144,0.04281323501276517,0.061668984924918305,0.1916499870304805,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.08661096392908091,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.17067454656613001,0.09580838323353294,0.463768115942029,2.3132864705371867,0.37497452618707966,2.0759790645860496,0.04141656662665066,ok,catboost_hpo_trial_107,val,35,[],64,below_strong
108,0.06269295758139823,5,0.12321050897883648,1.3579865402887783,3.346790184920851,3.0751160967021907,224,25,1666.0,0.04141656662665066,0.5932409499695989,0.043824871653625606,0.05364727970482606,0.19211340591282525,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.028021194212349703,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.08610148767067455,0.06287425149700598,0.30434782608695654,1.5180942462900286,0.2073568371713878,1.5137169178349197,0.04141656662665066,ok,catboost_hpo_trial_108,val,88,[],64,below_strong
109,0.08398769814359627,5,0.15916134457506015,1.187630255090711,3.1511675843424043,2.9222713547706958,185,28,1666.0,0.04141656662665066,0.6778833501220585,0.04325620496165804,0.03535367734281693,0.17928078307026635,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.10036682290605257,0.12574850299401197,0.30434782608695654,3.0361884925800573,0.25616466272671695,0.09281437125748503,0.4492753623188406,2.2409962683328994,0.37691053596902385,2.0278768856120495,0.04141656662665066,ok,catboost_hpo_trial_109,val,125,[],64,below_strong
110,0.05632643774290648,5,0.13993039989654155,1.1256324279010541,2.342615834257546,3.7523012229199124,212,24,1666.0,0.04141656662665066,0.6376312469939108,0.04913664531716,0.08095297305068347,0.2098852444715501,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.03250458528632566,0.03592814371257485,0.08695652173913043,0.867482426451445,0.08345221112696148,0.05688622754491018,0.2753623188405797,1.3735138418814545,0.2669655594049317,1.3599977576765536,0.04141656662665066,ok,catboost_hpo_trial_110,val,104,[],64,below_strong
111,0.07950064085458203,5,0.11015546285538047,1.5688871274555711,2.6332890980232087,3.5458930304052654,203,20,1666.0,0.04141656662665066,0.6835189168095976,0.04286575777864471,0.049867967277714115,0.18533347903864184,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.10953739555736702,0.10179640718562874,0.2463768115942029,2.457866874945761,0.2134705522722641,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.3560220093743632,1.9195372125178793,0.04141656662665066,ok,catboost_hpo_trial_111,val,80,[],64,below_strong
112,0.10001997064904372,5,0.13197437813232107,1.9268007109235699,2.4684447136741055,4.199421854643594,200,28,1666.0,0.04141656662665066,0.7332226184966377,0.04212400849651918,0.05475974920120417,0.18415064759173483,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.09017729773792542,0.11377245508982035,0.2753623188405797,2.747027683762909,0.2347666598736499,0.10179640718562874,0.4927536231884058,2.457866874945761,0.4162421031179947,2.4149749434972008,0.04141656662665066,ok,catboost_hpo_trial_112,val,60,[],64,below_strong
