parent_trial,seed,n,positive_rate,pr_auc,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,added_features,join_note,n_features
142,13,1666.0,0.04141656662665066,0.048447665356247116,0.5663926020709119,0.044650226898791924,0.05752895685300626,0.19683536216610834,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.030568575504381496,0.03592814371257485,0.08695652173913043,0.867482426451445,0.07642143876095374,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.19757489300998574,1.1697653693261987,0.04141656662665066,ok,catboost_seed_13,val,45,[],[],,64
142,42,1666.0,0.04141656662665066,0.03477360207052632,0.42901091720889706,0.05150948173042392,0.09126474204110924,0.22819323650240475,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.05094762584063583,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.008982035928143712,0.043478260869565216,0.21687060661286126,0.05094762584063583,0.8396061021666211,0.04141656662665066,ok,catboost_seed_42,val,51,[],[],,64
142,73,1666.0,0.04141656662665066,0.05443288175947496,0.5795331826885556,0.045592060706649805,0.06799515808557698,0.20219154143001333,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.024454860403505196,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.11055634807417974,0.059880239520958084,0.2898550724637681,1.4458040440857416,0.19971469329529243,1.3142779856708013,0.04141656662665066,ok,catboost_seed_73,val,84,[],[],,64
142,101,1666.0,0.04141656662665066,0.044790592102148315,0.551863548501266,0.04348839555617329,0.02099392445287275,0.18700724606139532,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.02292643162828612,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.033115956796413284,0.02694610778443114,0.13043478260869565,0.6506118198385837,0.09567964132871408,1.0814656006112913,0.04141656662665066,ok,catboost_seed_101,val,279,[],[],,64
142,2026,1666.0,0.04141656662665066,0.07055425451542191,0.6627008975161762,0.04537338914657653,0.05012435575170238,0.18942166191594298,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.06368453230079478,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.18891379661707763,0.0688622754491018,0.3333333333333333,1.662674650698603,0.27613613205624615,1.7035273626477234,0.04141656662665066,ok,catboost_seed_2026,val,269,[],[],,64
198,13,1666.0,0.04141656662665066,0.0754328071483828,0.6677874275135445,0.04386327972978745,0.04816830821293859,0.18509750399636912,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.09068677399633177,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.21795394334624008,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.4125738740574689,1.8213196624522572,0.04141656662665066,ok,catboost_seed_13,val,275,[],[],,64
198,42,1666.0,0.04141656662665066,0.06820954664117129,0.66159374914922,0.046191232975844036,0.08109571973311538,0.2082556356317149,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.06368453230079478,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.12074587324230691,0.06287425149700598,0.30434782608695654,1.5180942462900286,0.3011004687181577,1.64691456093031,0.04141656662665066,ok,catboost_seed_42,val,41,[],[],,64
198,73,1666.0,0.04141656662665066,0.06620023381790595,0.6330574537402557,0.04744651186153052,0.04312441408084453,0.19296948148619603,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.0830446301202364,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.15691868758915833,0.0688622754491018,0.3333333333333333,1.662674650698603,0.265946606888119,1.5983998484149466,0.04141656662665066,ok,catboost_seed_73,val,252,[],[],,64
198,101,1666.0,0.04141656662665066,0.03883892747500979,0.4937836341691396,0.04420616104340572,0.04663311615981175,0.19456074327682701,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.04126757693091502,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.16904422253922968,0.937763089469077,0.04141656662665066,ok,catboost_seed_101,val,64,[],[],,64
198,2026,1666.0,0.04141656662665066,0.07209258802246839,0.6615892116559129,0.042530494886450186,0.03601742179472013,0.1793571606896719,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.0647034848176075,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.19461993071122885,0.07784431137724551,0.37681159420289856,1.8795452573114642,0.34990829427348685,1.740670313701918,0.04141656662665066,ok,catboost_seed_2026,val,160,[],[],,64
234,13,1666.0,0.04141656662665066,0.0599321621081731,0.6439792001306798,0.045011057310759495,0.05778675935651011,0.1934716612171398,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.029957203994293864,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.08752802119421235,0.07784431137724551,0.37681159420289856,1.8795452573114642,0.3377827593234155,1.447057711191542,0.04141656662665066,ok,catboost_seed_13,val,249,[],[],,64
234,42,1666.0,0.04141656662665066,0.04948846910304026,0.5597996242955541,0.04829275312326596,0.08464842583478302,0.21557995428036103,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.002547381292031791,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.11850417770531893,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.19533319747299777,1.1948955003719577,0.04141656662665066,ok,catboost_seed_42,val,41,[],[],,64
234,73,1666.0,0.04141656662665066,0.07791096415964129,0.7187389398600638,0.046340353893885265,0.06929031576313581,0.19547482907985322,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.05094762584063583,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.13592826574281638,0.08383233532934131,0.4057971014492754,2.024125661720038,0.3560220093743632,1.8811545839124983,0.04141656662665066,ok,catboost_seed_73,val,91,[],[],,64
234,101,1666.0,0.04141656662665066,0.0564009411900313,0.5937945241530769,0.04635658245484429,0.057372118986498986,0.19835712567825484,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.043305481964540454,0.0658682634730539,0.15942028985507245,1.590384448494316,0.1452007336458121,0.05688622754491018,0.2753623188405797,1.3735138418814545,0.2781740370898716,1.361796638008582,0.04141656662665066,ok,catboost_seed_101,val,268,[],[],,64
234,2026,1666.0,0.04141656662665066,0.09181485556572071,0.7391304347826086,0.044413179372292846,0.07522453539803861,0.1996730336825753,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.033115956796413284,0.10778443113772455,0.2608695652173913,2.602447279354335,0.30160994497656407,0.11377245508982035,0.5507246376811594,2.747027683762909,0.5639902180558386,2.2168630343839233,0.04141656662665066,ok,catboost_seed_2026,val,33,[],[],,64
