project_key,study_cycle,study_group,study_phase,upgrade_cost_usd,upgrade_cost_per_mw,capacity_mw,capacity_reduction_pct,restudy_flag,report_date,effective_date,available_date,entity_key,geographic_key,source_name,source_url,retrieved_at,match_method,match_confidence
P::J1056,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1056,LULU MONROE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1057,DPP-2018-APR,West,GIA,,,125.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1057,BREWSTER HERON LAKE 161KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1058,DPP-2018-APR,Central,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1058,SCHAHFER ST JOHN 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1059,DPP-2018-APR,Central,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1059,KELSO LUTESVILLE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1060,DPP-2018-APR,South,GIA,,,500.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1060,WEST MEMPHIS KEO 500KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1061,DPP-2018-APR,West,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1061,BRIGGS RD N ROCHESTER 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1062,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1062,MAJESTIC LEMOYNE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1063,DPP-2018-APR,Central,GIA,,,195.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1063,NEW LONDON FRANKFORT 230KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1064,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1064,MARQUETTE VERGENNES 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1065,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1065,ALMA VESTABURG 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1066,DPP-2018-APR,Central,GIA,,,44.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1066,EL DARA JUNCTION PITTSFIELD 69KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1067,DPP-2018-APR,Central,GIA,,,240.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1067,REYNOLDS BURR OAK 345KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1068,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1068,DORSET 120KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1069,DPP-2018-APR,Central,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1069,REYNOLDS 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1070,DPP-2018-APR,South,GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1070,SE GREENVILLE 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1071,DPP-2018-APR,East (ITC),GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1071,DONALDSON 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1072,DPP-2018-APR,West,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1072,ADAMS 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1073,DPP-2018-APR,South,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1073,WEBRE 500KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1074,DPP-2018-APR,Central,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1074,FRANCISCO 138KV SUB,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
