trial,pr_auc,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,added_features,join_note,n_features,goal
10,0.07475868792120707,0.16968794650474459,15,6,6,0.7308711222858615,0.7104723851021164,4.3444691085504115,0.01620963590242718,1666.0,0.04141656662665066,0.6668073289591897,0.04968812713953567,0.08130126170189961,0.20953646574140022,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.08508253515386183,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.21398002853067047,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.3622376197269207,1.8050431025613187,0.04141656662665066,ok,lightgbm_hpo_trial_10,val,45,[],,85,below_strong
11,0.045020541181108015,0.01074960044652479,41,7,36,0.8886051837527746,0.6870425828610647,0.00012323575721914418,1.3830977828403221e-08,1666.0,0.04141656662665066,0.528164220957774,0.04649838393908567,0.08249267309761932,0.21325428272617922,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.05094762584063583,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.03592814371257485,0.17391304347826086,0.867482426451445,0.17006317505604238,1.0870177044597964,0.04141656662665066,ok,lightgbm_hpo_trial_11,val,1,[],,85,below_strong
12,0.07108585840407365,0.017375334315313847,53,8,8,0.73352121444065,0.6783582581246779,6.918879189672182,1.0873525636115725e-05,1666.0,0.04141656662665066,0.6425725772054486,0.045981859436703916,0.0697604235697933,0.20060293904687557,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.03515386183003872,0.09580838323353294,0.2318840579710145,2.3132864705371867,0.21398002853067047,0.0718562874251497,0.34782608695652173,1.73496485290289,0.28337069492561645,1.7163629000171987,0.04141656662665066,ok,lightgbm_hpo_trial_12,val,377,[],,85,below_strong
13,0.04718305243196265,0.01044665390987308,18,6,52,0.8255079015857973,0.7574852070104716,0.1948476396837388,1.0767296616990538e-08,1666.0,0.04141656662665066,0.5588785131541931,0.04647388367997728,0.08236035428000388,0.21314216400316136,0.0,0.0,0.0,0.0,0.03592814371257485,0.08695652173913043,0.867482426451445,0.056042388424699406,0.03592814371257485,0.17391304347826086,0.867482426451445,0.1513144487466884,1.1392313819079678,0.04141656662665066,ok,lightgbm_hpo_trial_13,val,1,[],,85,below_strong
14,0.0514782644656184,0.016783551337308456,95,9,27,0.9840876348973715,0.6380517353262867,0.00011661732889831062,0.002091315720369199,1666.0,0.04141656662665066,0.5356420099280353,0.04650867670468548,0.082595819103844,0.21328948299626468,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.024862441410230283,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.024862441410230283,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.18789484410026494,1.2429389652133371,0.04141656662665066,ok,lightgbm_hpo_trial_14,val,1,[],,85,below_strong
15,0.08036243991598264,0.018969989883420597,60,5,66,0.6903628209954897,0.5084018823378919,0.00013031090658898324,2.892677322633416e-06,1666.0,0.04141656662665066,0.7096412657791331,0.046343631354552994,0.08322506912933092,0.2124101588755191,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.02099042184634196,0.0718562874251497,0.17391304347826086,1.73496485290289,0.1136132056246179,0.10179640718562874,0.4927536231884058,2.457866874945761,0.40350519665783574,1.9403452884061898,0.04141656662665066,ok,lightgbm_hpo_trial_15,val,9,[],,85,below_strong
16,0.06395524057410955,0.16588044475131014,107,8,44,0.505544302403961,0.7912554411220167,1.1032173338053698e-08,1.1539471704245675e-07,1666.0,0.04141656662665066,0.6527320247202635,0.054521196790125036,0.05257696934684009,0.20991856341005635,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.05746892194823721,0.0718562874251497,0.17391304347826086,1.73496485290289,0.16160586916649683,0.0658682634730539,0.3188405797101449,1.590384448494316,0.29559812512736905,1.5441946492241525,0.04141656662665066,ok,lightgbm_hpo_trial_16,val,99,[],,85,below_strong
17,0.08645026725868007,0.1011542365472882,32,5,22,0.8671553784997497,0.6407071297894796,0.46314370279936706,0.010664446312915542,1666.0,0.04141656662665066,0.6565389816050021,0.046463934503262035,0.08294333751772023,0.2129532312820397,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.07387405746892195,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.13490931322600366,0.09580838323353294,0.463768115942029,2.3132864705371867,0.4248013042592215,2.08733543844871,0.04141656662665066,ok,lightgbm_hpo_trial_17,val,1,[],,85,below_strong
18,0.09744367330115507,0.010079794049038669,85,7,71,0.770047510056797,0.6114256230451962,8.771967642389346e-07,4.4358559885239485e-06,1666.0,0.04141656662665066,0.7353325528844845,0.0463996847122329,0.08339820845229315,0.2127626784108619,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.0891583452211127,0.11976047904191617,0.2898550724637681,2.891608088171483,0.25575708171999184,0.11077844311377245,0.5362318840579711,2.6747374815586222,0.5034644385571633,2.3527704307206427,0.04141656662665066,ok,lightgbm_hpo_trial_18,val,8,[],,85,below_strong
19,0.044738505393976585,0.014151024605320762,52,4,18,0.7098750810141999,0.8722333648633827,4.307349380376705e-07,0.0001402154720337061,1666.0,0.04141656662665066,0.5360957592587551,0.04649451332892975,0.08248418624735879,0.21323543536615,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.03293413173652695,0.15942028985507245,0.795192224247158,0.13755858976971674,1.080207970816884,0.04141656662665066,ok,lightgbm_hpo_trial_19,val,1,[],,85,below_strong
20,0.04486741660630737,0.02299353719463395,82,7,43,0.6091330191487015,0.7307817783630477,2.0491381797062525e-07,2.514682984759334e-06,1666.0,0.04141656662665066,0.5295980688428484,0.04655499699585395,0.08285582659926463,0.21350619848949445,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.05094762584063583,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.14265335235378032,1.0833205226972187,0.04141656662665066,ok,lightgbm_hpo_trial_20,val,1,[],,85,below_strong
