document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible,local_path,download_status,source_file,zip_member
GI DPP 2016 FEB West Phase3 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-FEB-West-Phase3-Final-Public394321.pdf,DPP-2016-FEB,West,Phase3,DPP Phase 3 Final Study,2018-06-26,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394321,GI-DPP-2016-FEB-West-Phase3-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.257388Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394321_GI-DPP-2016-FEB-West-Phase3-Final-Public.pdf.pdf,ok_cover_date,394321_GI-DPP-2016-FEB-West-Phase3-Final-Public.pdf.pdf,
GI DPP 2016 AUG West Phase1 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase1-Final-Public394322.pdf,DPP-2016-AUG,West,Phase1,DPP Phase 1 System Impact Study,2018-09-20,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394322,GI-DPP-2016-AUG-West-Phase1-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.125437Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394322_GI-DPP-2016-AUG-West-Phase1-Final-Public.pdf.pdf,ok_cover_date,394322_GI-DPP-2016-AUG-West-Phase1-Final-Public.pdf.pdf,
GI DPP 2016 AUG West Phase2 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase2-Final-Public394323.pdf,DPP-2016-AUG,West,Phase2,DPP Phase 2 System Impact Study,2018-12-19,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394323,GI-DPP-2016-AUG-West-Phase2-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.99188Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394323_GI-DPP-2016-AUG-West-Phase2-Final-Public.pdf.pdf,ok_cover_date,394323_GI-DPP-2016-AUG-West-Phase2-Final-Public.pdf.pdf,
GI DPP 2016 AUG West Phase3 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase3-Final-Public394324.pdf,DPP-2016-AUG,West,Phase3,DPP Phase 3 Final Study,2019-03-14,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394324,GI-DPP-2016-AUG-West-Phase3-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.866546Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394324_GI-DPP-2016-AUG-West-Phase3-Final-Public.pdf.pdf,ok_cover_date,394324_GI-DPP-2016-AUG-West-Phase3-Final-Public.pdf.pdf,
GI DPP 2016 FEB West Phase1 Final Public,https://cdn.misoenergy.org/GI-DPP-2016_FEB_West-Phase1-Final-Public394325.pdf,DPP-2016-FEB,West,Phase1,DPP Phase 1 System Impact Study,2017-08-11,cover_final:regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,394325,GI-DPP-2016_FEB_West-Phase1-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.73657Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/394325_GI-DPP-2016_FEB_West-Phase1-Final-Public.pdf.pdf,ok_cover_date,394325_GI-DPP-2016_FEB_West-Phase1-Final-Public.pdf.pdf,
GI DPP 2018 APR MI Ph1 System Impact Study V2 Final PUBLIC :: GI DPP 2018 APRIL MI SIS Phase 1 Report-FinalV2.pdf,https://cdn.misoenergy.org/GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC392816.zip,DPP-2018-APR,Michigan,Phase1,DPP Phase 1 System Impact Study,2019-11-07,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,392816,GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:01:28.593619Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/392816_GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC.zip__GI_DPP_2018_APRIL_MI_SIS_Phase_1_Report-FinalV2.pdf.pdf,ok_cover_date_zip,392816_GI-DPP-2018-APR-MI-Ph1_System_Impact_Study_v2_FINAL_PUBLIC.zip__GI_DPP_2018_APRIL_MI_SIS_Phase_1_Report-FinalV2.pdf.pdf,GI DPP 2018 APRIL MI SIS Phase 1 Report-FinalV2.pdf
GI DPP 2018 APRIL Central SIS Phase I Report - FINAL,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL404614.pdf,DPP-2018-APR,Central,Phase1,DPP Phase 1 System Impact Study,2019-11-29,regex:%m/%d/%Y,optics_api_processstage,2026-09-05T05:53:28Z,404614,GI DPP 2018 APRIL Central SIS Phase I Report - FINAL.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.25595Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/404614_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL.pdf.pdf,ok_cover_date,404614_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL.pdf.pdf,
GI DPP 2017 AUG Central Phase III System Impact Study FINAL Rev2,https://cdn.misoenergy.org/GI-DPP-2017-AUG-Central-Phase_III_System_Impact_Study_FINAL_Rev2366402.pdf,DPP-2017-AUG,Central,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,366402,GI-DPP-2017-AUG-Central-Phase_III_System_Impact_Study_FINAL_Rev2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:27.290832Z,False,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/366402_GI-DPP-2017-AUG-Central-Phase_III_System_Impact_Study_FINAL_Rev2.pdf.pdf,fetched_cover_no_date,,
GI DPP 2017 AUG West Phase1 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC388157.pdf,DPP-2017-AUG,West,Phase1,DPP Phase 1 System Impact Study,2019-10-03,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,388157,GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:26.839656Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/388157_GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC.pdf.pdf,ok_cover_date,388157_GI-DPP-2017-AUG-West-Phase1_System_Impact_Report_PUBLIC.pdf.pdf,
GI DPP 2016 AUG West Area Restudy SIS Addendum Public,https://cdn.misoenergy.org/GI%20DPP%202016%20AUG%20West%20Area%20Restudy%20SIS%20Addendum%20Public429301.pdf,DPP-2016-AUG,West,Restudy,Restudy;Addendum,2019-03-14,regex:%B %d %Y,optics_api_processstage,2026-09-05T05:53:28Z,429301,GI DPP 2016 AUG West Area Restudy SIS Addendum Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:14.604749Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/429301_GI_DPP_2016_AUG_West_Area_Restudy_SIS_Addendum_Public.pdf.pdf,ok_cover_date,429301_GI_DPP_2016_AUG_West_Area_Restudy_SIS_Addendum_Public.pdf.pdf,
