document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible
GI DPP 2018 APR ATC Ph1 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC435259.zip,DPP-2018-APR,ATC,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,435259,GI-DPP-2018-APR-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.94997Z,False
GI DPP 2017 AUG ATC Restudy Final R1 PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC470236.zip,DPP-2017-AUG,ATC,Restudy,Restudy,,,optics_api_processstage,2026-09-05T05:53:28Z,470236,GI-DPP-2017-AUG-ATC_Restudy_Final_R1_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.841858Z,False
GI DPP 2016 AUG West Phase3 Addendum Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase3-Addendum%20Public435874.pdf,DPP-2016-AUG,West,Phase3,DPP Phase 3 Final Study;Addendum,,,optics_api_processstage,2026-09-05T05:53:28Z,435874,GI-DPP-2016-AUG-West-Phase3-Addendum Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:13.706202Z,False
GI DPP 2018 APR South Ph3 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-South-Ph3_System_Impact_Study_Final_PUBLIC440464.zip,DPP-2018-APR,South,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,440464,GI-DPP-2018-APR-South-Ph3_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.492379Z,False
GI DPP 2017 AUG West Phase2 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC511211.pdf,DPP-2017-AUG,West,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,511211,GI-DPP-2017-AUG-West-Phase2_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:13.447103Z,False
GI DPP 2019 Cycle1 MI Ph1 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC516686.zip,2019 Cycle 1,Michigan,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,516686,GI-DPP-2019-Cycle1-MI-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.325276Z,False
GI DPP 2018 APR ATC Ph2 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC444887.zip,DPP-2018-APR,ATC,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,444887,GI-DPP-2018-APR-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.250206Z,False
GI DPP 2019 Cycle1 ATC Ph1 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC516961.zip,2019 Cycle 1,ATC,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,516961,GI-DPP-2019-Cycle1-ATC-Ph1_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:13.209093Z,False
GI DPP 2018 APR West Phase2 System Impact Report Public,https://cdn.misoenergy.org/GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public523356.pdf,DPP-2018-APR,West,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,523356,GI-DPP-2018-APR-West-Phase2_System_Impact_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.873514Z,False
GI DPP 2019 Cycle South Ph2 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC526221.zip,2019 Cycle 1,South,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,526221,GI-DPP-2019-Cycle-South-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:12.612886Z,False
