project_key,start_date,stop_date,withdrawal_event,operation_event,queue_age_months,log1p_capacity_mw,technology_primary,is_hybrid,state_code,months_until_service,service_date_passed,capacity_change_pct,service_date_shift_months,years_since_last_change,other_active_projects_same_state,other_active_mw_same_state,other_active_projects_same_poi,other_active_mw_same_poi,other_active_mw_same_technology,prior_12m_withdrawal_count,prior_12m_withdrawn_mw,years_in_queue,study_phase,service_type,capacity_mw
P::J900,2024-12-31,2025-12-31,0,0,,5.303304908059076,solar,0,LA,,0,0.0,,,220.0,40487.62,0.0,0.0,241888.03,2331,440790.32,,IA Executed,NRIS,200.0
P::J900,2025-12-31,2026-03-01,0,0,102.50513347022587,5.303304908059076,solar,0,LA,-63.507186858316224,1,0.0,,,131.0,35293.82,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,NRIS,200.0
P::J900,2026-03-01,2027-03-01,0,0,104.47638603696099,5.303304908059076,solar,0,LA,,0,0.0,,,60.0,13319.51,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,NRIS,200.0
P::J901,2020-12-31,2021-05-26,1,0,42.51334702258727,5.303304908059076,wind_onshore,0,MN,9.00205338809035,0,,,,49.0,7037.0,0.0,0.0,17666.6,1781,358269.28,3.542778918548939,In Progress,,200.0
P::J901,2021-12-31,2022-12-31,0,0,54.50513347022587,5.303304908059076,wind_onshore,0,MN,-2.9897330595482545,1,0.0,0.0,0.0,69.0,8485.6,0.0,0.0,21851.6,2059,399153.61,4.542094455852156,,ERIS,200.0
P::J901,2022-12-31,2023-12-31,0,0,66.49691991786447,5.303304908059076,wind_onshore,0,MN,-14.981519507186858,1,0.0,0.0,0.999315537303217,102.0,14923.6,0.0,0.0,32822.2,205,53410.8,5.541409993155373,,ERIS,200.0
P::J901,2023-12-31,2024-12-31,0,0,78.48870636550308,5.303304908059076,wind_onshore,0,MN,-26.973305954825463,1,0.0,0.0,1.998631074606434,97.0,13485.6,0.0,0.0,31412.6,437,89321.64,6.54072553045859,Facility Study,ERIS,200.0
P::J901,2024-12-31,2025-12-31,0,0,,5.303304908059076,wind_onshore,0,MN,,0,0.0,,3.0006844626967832,152.0,24788.75,0.0,0.0,52488.84,2331,440790.32,,Cluster Study,ERIS,200.0
P::J901,2025-12-31,2026-03-01,0,0,102.50513347022587,5.303304908059076,wind_onshore,0,MN,-50.98973305954826,1,0.0,,4.0,155.0,28421.81,0.0,0.0,45562.49,1139,222351.24,8.542094455852157,IA Executed,ERIS,200.0
P::J901,2026-03-01,2027-03-01,0,0,104.47638603696099,5.303304908059076,wind_onshore,0,MN,,0,0.0,,4.164271047227926,99.0,18401.9,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,ERIS,200.0
P::J902,2020-12-31,2021-12-31,0,0,,4.6147243987929025,solar,0,AR,-16.0,1,,,,25.0,3292.0,0.0,0.0,66428.8,1781,358269.28,,,,99.96
P::J902,2021-12-31,2022-12-31,0,0,54.50513347022587,4.61512051684126,solar,0,AR,-27.991786447638603,1,0.040016006402567285,0.0,0.0,71.0,15351.0,0.0,0.0,118328.8,2059,399153.61,4.542094455852156,,NRIS,100.0
P::J902,2022-12-31,2023-12-31,0,0,66.49691991786447,4.61512051684126,solar,0,AR,-39.983572895277206,1,0.0,0.0,0.999315537303217,204.0,45340.0,0.0,0.0,228129.8,205,53410.8,5.541409993155373,,NRIS,100.0
P::J902,2023-12-31,2024-12-31,0,0,78.48870636550308,4.61512051684126,solar,0,AR,-51.97535934291581,1,0.0,0.0,1.998631074606434,191.0,37224.0,0.0,0.0,189144.8,437,89321.64,6.54072553045859,IA Executed,NRIS,100.0
