project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1104,J1104,J1104,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1105,J1105,J1105,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1106,J1106,J1106,exact_normalized_queue_id,1.0,accepted,414.0,414.0,0.0,False
P::J1107,J1107,J1107,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1108,J1108,J1108,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1109,J1109,J1109,exact_normalized_queue_id,1.0,accepted,207.0,207.0,0.0,False
P::J1110,J1110,J1110,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1111,J1111,J1111,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1112,J1112,J1112,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1113,J1113,J1113,exact_normalized_queue_id,1.0,accepted,85.0,85.0,0.0,False
P::J1114,J1114,J1114,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1115,J1115,J1115,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1116,J1116,J1116,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1117,J1117,J1117,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1118,J1118,J1118,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1119,J1119,J1119,exact_normalized_queue_id,1.0,accepted,600.0,600.0,0.0,False
P::J1120,J1120,J1120,exact_normalized_queue_id,1.0,accepted,145.0,145.0,0.0,False
P::J1121,J1121,J1121,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1122,J1122,J1122,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1123,J1123,J1123,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1124,J1124,J1124,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1125,J1125,J1125,exact_normalized_queue_id,1.0,accepted,135.0,135.0,0.0,False
P::J1126,J1126,J1126,exact_normalized_queue_id,1.0,accepted,1.1,1.1,0.0,False
P::J1127,J1127,J1127,exact_normalized_queue_id,1.0,accepted,49.9,49.9,0.0,False
P::J1128,J1128,J1128,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1129,J1129,J1129,exact_normalized_queue_id,1.0,accepted,65.0,65.0,0.0,False
P::J1130,J1130,J1130,exact_normalized_queue_id,1.0,accepted,1110.0,1110.0,0.0,False
P::J1131,J1131,J1131,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1132,J1132,J1132,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1133,J1133,J1133,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1134,J1134,J1134,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1135,J1135,J1135,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1136,J1136,J1136,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1137,J1137,J1137,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1138,J1138,J1138,exact_normalized_queue_id,1.0,accepted,70.0,70.0,0.0,False
P::J1139,J1139,J1139,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1140,J1140,J1140,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1141,J1141,J1141,exact_normalized_queue_id,1.0,accepted,17.0,17.0,0.0,False
P::J1142,J1142,J1142,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1143,J1143,J1143,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1144,J1144,J1144,exact_normalized_queue_id,1.0,accepted,96.0,96.0,0.0,False
P::J1145,J1145,J1145,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1146,J1146,J1146,exact_normalized_queue_id,1.0,accepted,10.0,10.0,0.0,False
P::J1147,J1147,J1147,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1148,J1148,J1148,exact_normalized_queue_id,1.0,accepted,54.0,54.0,0.0,False
P::J1149,J1149,J1149,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1150,J1150,J1150,exact_normalized_queue_id,1.0,accepted,30.0,30.0,0.0,False
P::J1151,J1151,J1151,exact_normalized_queue_id,1.0,accepted,252.0,252.0,0.0,False
P::J1152,J1152,J1152,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1153,J1153,J1153,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1154,J1154,J1154,exact_normalized_queue_id,1.0,accepted,75.0,75.0,0.0,False
P::J1155,J1155,J1155,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1156,J1156,J1156,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1157,J1157,J1157,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1158,J1158,J1158,exact_normalized_queue_id,1.0,accepted,70.0,70.0,0.0,False
P::J1159,J1159,J1159,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1160,J1160,J1160,exact_normalized_queue_id,1.0,accepted,100.23,100.23,0.0,False
P::J1161,J1161,J1161,exact_normalized_queue_id,1.0,accepted,100.23,100.23,0.0,False
P::J1162,J1162,J1162,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1163,J1163,J1163,exact_normalized_queue_id,1.0,accepted,120.0,120.0,0.0,False
P::J1164,J1164,J1164,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1165,J1165,J1165,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1166,J1166,J1166,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1167,J1167,J1167,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1168,J1168,J1168,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1169,J1169,J1169,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1170,J1170,J1170,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1171,J1171,J1171,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1172,J1172,J1172,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1173,J1173,J1173,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1174,J1174,J1174,exact_normalized_queue_id,1.0,accepted,165.0,165.0,0.0,False
P::J1175,J1175,J1175,exact_normalized_queue_id,1.0,accepted,165.0,165.0,0.0,False
