project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1245,J1245,J1245,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1246,J1246,J1246,exact_normalized_queue_id,1.0,accepted,725.2,725.2,0.0,False
P::J1247,J1247,J1247,exact_normalized_queue_id,1.0,accepted,16.98,16.98,0.0,False
P::J1248,J1248,J1248,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1249,J1249,J1249,exact_normalized_queue_id,1.0,accepted,600.0,600.0,0.0,False
P::J1250,J1250,J1250,exact_normalized_queue_id,1.0,accepted,35.0,35.0,0.0,False
P::J1251,J1251,J1251,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1252,J1252,J1252,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1253,J1253,J1253,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1254,J1254,J1254,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1255,J1255,J1255,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1256,J1256,J1256,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1257,J1257,J1257,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1258,J1258,J1258,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1259,J1259,J1259,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1260,J1260,J1260,exact_normalized_queue_id,1.0,accepted,164.0,164.0,0.0,False
P::J1261,J1261,J1261,exact_normalized_queue_id,1.0,accepted,90.0,90.0,0.0,False
P::J1262,J1262,J1262,exact_normalized_queue_id,1.0,accepted,25.0,25.0,0.0,False
P::J1263,J1263,J1263,exact_normalized_queue_id,0.9,accepted,408.6,408.6,0.0,False
P::J1264,J1264,J1264,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1265,J1265,J1265,exact_normalized_queue_id,1.0,accepted,43.0,43.0,0.0,False
P::J1266,J1266,J1266,exact_normalized_queue_id,1.0,accepted,99.0,99.0,0.0,False
P::J1267,J1267,J1267,exact_normalized_queue_id,1.0,accepted,135.0,135.0,0.0,False
P::J1268,J1268,J1268,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1269,J1269,J1269,exact_normalized_queue_id,0.9,accepted,100.0,100.0,0.0,False
P::J1270,J1270,J1270,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1271,J1271,J1271,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1272,J1272,J1272,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1273,J1273,J1273,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1274,J1274,J1274,exact_normalized_queue_id,0.9,accepted,100.0,100.0,0.0,False
P::J1275,J1275,J1275,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1276,J1276,J1276,exact_normalized_queue_id,0.9,accepted,100.0,100.0,0.0,False
P::J1277,J1277,J1277,exact_normalized_queue_id,1.0,accepted,130.0,130.0,0.0,False
P::J1278,J1278,J1278,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1279,J1279,J1279,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1280,J1280,J1280,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
